ངན་སོང་སྤོང|Abandoner of Unfavorable Rebirths
རབ་ཏུ་ཞི་བ་རྣམ་པར་དུལ་བའི་དབང་ཕྱུག|Lord of Peace and Calm
ཞི་གནས|Calm abiding
ཞི་གནས|Calm abiding
ཞི་བ|Calmness
ཕྲ་མ་རྡོ་རྗེ་མ|Calumny Vajrī
བྱིན་པ་རི་དགས་ཨེནེཡའི་ལྟ་བུ་དང་ལྡན་པ|Calves resembling those of an antelope
ཙམ་པ|Campā
ཙམ་པ|Campā
ཙམ་པ་ཀ|Campaka
ཙམ་པ་ཀ|Campaka
ཙམ་པ་ཀ|Magnolia
ཙམ་པ་ཀ|Magnolia
ཙམ་པ་ཀ|Magnolia
མེ་ཏོག་ཙམ་པ་ཀའི་ཁ་དོག|Campakavarṇā
མེ་ཏོག་ཙམ་པ་ཀའི་ཁ་དོག|Campakavarṇā
ག་བུར|Camphor
ཀ་སྟུ་ར|Camphor
ཙ་མུཎྜཱ|Cāmuṇḍā
ཙ་མུཎྜཱ|Cāmuṇḍā
གདོལ་པ་མོ|Caṇḍā
གདོལ་པ་མོ|Caṇḍā
གདོལ་མ་གཏུམ་མོ|Caṇḍa Caṇḍālinī
གདོལ་མ་གཏུམ་མོ|Caṇḍa Caṇḍālinī
གདོལ་པ|Caṇḍāla
གདོལ་པ|Caṇḍāla
གདོལ་བའི་རིགས|Outcaste
གཏུམ་མོ|Caṇḍālikā
གཏུམ་མོ|Caṇḍālikā
ཙན་དན|Candana
ཙན་དན|Candana
ཙན་དན|Sandalwood
ཙནྡན|Candana
ཙནྡན|Candana
ཙནྡན་ཨ་བར་ཏ་ཀ|Sandalwood paste
ཙན་དན་གྱི་དཔལ|Candanaśrī
ཙན་དན་གྱི་དཔལ|Candanaśrī
ཙན་དན་གྱི་མེ་ཏོག་གཟི་བརྗིད་སྐར་འོད་ཀྱི་དཔལ|Candana­kusuma­tejo­nakṣatra­prabhāsa­śrī
ཙན་དན་གྱི་མེ་ཏོག་གཟི་བརྗིད་སྐར་འོད་ཀྱི་དཔལ|Candana­kusuma­tejo­nakṣatra­prabhāsa­śrī
གཏུམ་པོ་ཁྲོ་བོ་ཆེན་པོ|Caṇḍa­mahā­roṣaṇa
གཏུམ་པོ་ཁྲོ་བོ|Caṇḍa­mahā­roṣaṇa
གཏུམ་པོ|Caṇḍa­mahā­roṣaṇa
གཏུམ་པོ་ཁྲོ་བོ་ཆེན་པོ|Caṇḍa­mahā­roṣaṇa
གཏུམ་པོ་ཁྲོ་བོ|Caṇḍa­mahā­roṣaṇa
གཏུམ་པོ|Caṇḍa­mahā­roṣaṇa
གཏུམ་མོ|Caṇḍī
གཏུམ་མོ|Caṇḍī
ཟླ་བ|Candra
ཟླ་བ|Candra
མེ་ཏོག་ཟླ་བ|Candra
མེ་ཏོག་ཟླ་བ|Candra
རི་བོང་ཅན|Moon
ཟླ་བ|Moon
ཟླ་བ|Candra
ཟླ་བ|Candra
ཟླ་བ|Candra
ཟླ་བ|Candra
ཟླ་བའི་སྒྲོན་མ|Lamp of the Moon [or Immaculate Moon]
ཟླ་བ|Candra
ཟླ་བ|Candra
མེ་ཏོག་ཟླ་བ|Candra
མེ་ཏོག་ཟླ་བ|Candra
རི་བོང་ཅན|Moon
ཟླ་བ|Moon
ཟླ་བ|Candra
ཟླ་བ|Candra
ཟླ་བ|Candra
ཟླ་བ|Candra
ཟླ་བའི་སྒྲོན་མ|Lamp of the Moon [or Immaculate Moon]
ཟླ་བའི་འོད་ཟེར|Candrabhānu
ཟླ་བའི་འོད་ཟེར|Candrabhānu
ཟླ་བ་འབྱོར་པ|Candrabhūti
ཟླ་བ་འབྱོར་པ|Candrabhūti
ཟླ་གདུགས|Candracchattra
ཟླ་གདུགས|Candracchattra
ཟླ་བའི་གླིང|Candradvīpa
ཟླ་བའི་གླིང|Candradvīpa
ཟླ་འོད་མ|Candrakāntā
ཟླ་འོད་མ|Candrakāntā
ཟླ་བ་ལྟར་མཛེས་མ|Candrakāntā
ཟླ་བ་ལྟར་མཛེས་མ|Candrakāntā
ཟླ་བ་གྲགས་པ|Candrakīrti
ཟླ་བ་གྲགས་པ|Candrakīrti
ཟླ་བ་གྲགས་པ|Candrakīrti
ཟླ་བ་གྲགས་པ|Candrakīrti
ཟླ་བ་གྲགས་པ|Candrakīrti
ཟླ་བ་གྲགས་པ|Candrakīrti
ཟླ་བའི་ཞལ|Candrānana
ཟླ་བའི་ཞལ|Candrānana
ཟླ་བའི་འོད|Candraprabha
ཟླ་བའི་འོད|Candraprabha
ཟླ་འོད|Candraprabha
ཟླ་འོད|Candraprabha
ཟླ་བའི་འོད|Candraprabha
ཟླ་བའི་འོད|Candraprabha
ཟླ་འོད|Candraprabha
ཟླ་འོད|Candraprabha
ཟླ་འོད|Candraprabha
ཟླ་འོད|Candraprabha
ཟླ་འོད་གཞོན་ནུ|The youth Candraprabha
ཟླ་འོད་གཞོན་ནུ|The youth Candraprabha
ཉི་ཟླ་སྒྲོན་མ|Candrārkadīpa
ཉི་ཟླ་སྒྲོན་མ|Candrārkadīpa
ཟླ་བའི་དཔལ|Candraśrī
ཟླ་བའི་དཔལ|Candraśrī
ཉི་ཟླའི་འོད་དཔལ|Candrasūryaśrī
ཉི་ཟླའི་འོད་དཔལ|Candrasūryaśrī
ཟླ་བའི་སྙིང་པོ|Candra­garbha
ཟླ་བའི་སྙིང་པོ|Candra­garbha
ཉི་ཟླ་ཟིལ་དུ་རླག་པར་བྱེད་པའི་འོད་དང་ལྡན་པ|Candra­sūrya­jihmī­kara­prabha’s
ཉི་ཟླ་ཟིལ་དུ་རླག་པར་བྱེད་པའི་འོད་དང་ལྡན་པ|Candra­sūrya­jihmī­kara­prabha’s
ཉི་ཟླ་སྒྲོན་མ|Candra­sūrya­pradīpa
ཉི་ཟླ་སྒྲོན་མ|Candra­sūrya­pradīpa
ཉི་ཟླ་སྒྲོན་མ|Candra­sūrya­pradīpa
ཉི་ཟླ་སྒྲོན་མ|Candra­sūrya­pradīpa
ཉི་ཟླ་དང་འཇིག་རྟེན་གསུམ་འཛིན་པ|Candra­sūrya­trailokya­dhārin
ཉི་ཟླ་དང་འཇིག་རྟེན་གསུམ་འཛིན་པ|Candra­sūrya­trailokya­dhārin
ཉི་ཟླ་དྲི་མ་མེད་པའི་འོད་དཔལ|Candra­sūrya­vimala­prabhāsa­śrī
ཉི་ཟླ་དྲི་མ་མེད་པའི་འོད་དཔལ|Candra­sūrya­vimala­prabhāsa­śrī
བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད|Canon of the bodhisattvas
གཟུགས་སུ་རུང་བ|Capable of assuming material form
གཟུང་བའི་ཚིག|Captivating speech
བརྐུས་པ|Captive
སྤྱོད་པ་ཅན|Sādhu
སྤྱོད་པ་བ|Caraka
སྤྱོད་པ་བ|Caraka
སྤྱོད་པ་པ|Sectarian vagabond
ལྷོག་པ|Carbuncles
ཕྲིན་ལས་ཆུང་བ|Carefree inaction
བག་མེད་པ|Carelessness
ལྷག་པར་བྱ་བ་བྱེད|Carried out their duties
སྤྱོད་པའི་བློ་གྲོས|Caryamati
སྤྱོད་པའི་བློ་གྲོས|Caryamati
སྤྱོད་པའི་རྒྱུད|Caryātantra
སྤྱོད་པའི་རྒྱུད|Caryātantra
སྦྱོད་རྒྱུད|Caryātantra
སྦྱོད་རྒྱུད|Caryātantra
ཟ་མ་ཏོག|Casket
ཨེ་རཎྜ|Castor-oil plant
འཇིག་རྟེན་སྐྱོང་བ་བཞི་དང་ལྔའི་དཔལ|Catuḥpañca­lokapāla­śrī
འཇིག་རྟེན་སྐྱོང་བ་བཞི་དང་ལྔའི་དཔལ|Catuḥpañca­lokapāla­śrī
རྒྱལ་པོ་ཆེན་པོ་བཞིའི་རིས|Cāturmahā­rāja­kāyika
རྒྱལ་པོ་ཆེན་པོ་བཞིའི་རིས|Cāturmahā­rāja­kāyika
རིག་བྱེད་བཞིའི་དཔལ|Caturvedaśrī
རིག་བྱེད་བཞིའི་དཔལ|Caturvedaśrī
རྒྱལ་ཆེན་བཞིའི་རིས|Catur­mahā­rāja­kāyika
རྒྱལ་ཆེན་བཞིའི་རིས|Catur­mahā­rāja­kāyika
ཙཽ་ར|Caurī
ཙཽ་ར|Caurī
བྱེད་རྒྱུ|Causal factors
རྒྱུ|Cause
ལེན་པའི་རྒྱུ|Appropriating cause
ཤེས་པ་འཇུག|Cause one to know
ངས་བར་དུ་གཅོད་པའི་ཆོས་གང་དག་བཤད་པ|I claim to have explained those things which cause obstacles
ཤེས་པ་འཇུག|Cause one to know
འགག་པ|Ceasing
མི་འགག་པ|Non-ceasing
ཁང་བརྩེགས|Celestial chariot
ལྷའི་བུ་མོ|Celestial maiden
གཞལ་མེད་ཁང|Celestial palace
ཙེ་ལུ|Celu
ཙེ་ལུ|Celu
གཙོ་བོ|Central deity
སྲོག་ཤིང|Central pillar
ཀླད་རྒྱས|Cerebral secretion
སྣམ་སྦྱར|Ceremonial robe
དབྱིངས་སུ་ངེས་པ|Certainty in the Expanse of Reality
འགོག་པ|Cessation
ཁྱད་པར་དགའ་བ|Joy of cessation
འགོག་པའི་ཁམས|Element of cessation
འགོག་པའི་སྙོམས་པར་འཇུག་པ|Equipoise in cessation
གཏི་མུག་ཟད་པ|Cessation of delusion
འདོད་ཆགས་ཟད་པ|Cessation of desire
ཞེ་སྡང་ཟད་པ|Cessation of hatred
ཟག་པ་ཟད་པ|Cessation of contaminants
འགོག་པ་འཕགས་པའི་བདེན་པ|Noble truth of the cessation of suffering
འགོག་པ་འཕགས་པའི་བདེན་པ|Noble truth of the cessation of suffering
འགོག་པ་འཕགས་པའི་བདེན་པ|Noble truth of the cessation of suffering
འགོག་པ་ཤེས་པ|Knowledge of the cessation of suffering
ཟག་པ་ཟད་པ་ཤེས་པ་མངོན་སུམ་དུ་བྱ་བ་ཤེས་པའི་མངོན་པར་ཤེས་པ|Extrasensory power realizing knowledge of the cessation of contaminants
འདུ་ཤེས་དང་ཚོར་བ་འགོག་པ་བསྒྲུབས་ཏེ་གནས་པ|One achieves and abides in the cessation of all perceptions and feelings
ཟག་པ་ཟད་པ|Cessation of contaminants
ཟག་པ་ཟད་པ་ཤེས་པ་མངོན་སུམ་དུ་བྱ་བ་ཤེས་པའི་མངོན་པར་ཤེས་པ|Extrasensory power realizing knowledge of the cessation of contaminants
གཏི་མུག་ཟད་པ|Cessation of delusion
འདོད་ཆགས་ཟད་པ|Cessation of desire
ཞེ་སྡང་ཟད་པ|Cessation of hatred
ཕུབ་མའི་སྦྱིན་སྲེག|Chaff homa
ཨ་པ་མརྒ|Chaff tree
འཁོར་ལོ|Chakra
དུན་པ|Chanda
དུན་པ|Chanda
འདུན་པ|Consent
འདུན་པ|Chanda
འདུན་པ|Chanda
རྩ|Channel
རྩ|Channels
གཞི|Chapter
ལེའུ|Chapter
ཚངས་པར་སྤྱོད་པ|Chaste life
བཙོངས་པ|Chattel
གདུགས་དམ་པའི་དཔལ|Chattrottama­śrī
གདུགས་དམ་པའི་དཔལ|Chattrottama­śrī
ཤུག་པ|Cherry wood
སྟོང་གི་འཇིག་རྟེན་གྱི་ཁམས|Chiliocosm
སྟོང་ཆུང་ངུའི་འཇིག་རྟེན་གྱི་ཁམས|Chiliocosm
ཆོས་ཉིད་ཚུལ་ཁྲིམས|Chönyi Tsültrim
རྟག་པའི་རིམས|Chronic fevers
ཀེ་ཀེ་རུ|Chrysoberyl
སྲུབ་པའི་སྦྱོར་བ|Churning method
བི་ཅི་ཀུཎྜ་ལི|Cibikuṇḍalin
བི་ཅི་ཀུཎྜ་ལི|Cibikuṇḍalin
ཤིང་ཚ|Cinnamon
རྐྱེན་གྱི་རྒྱལ་བ|Circumstantial victorious one
ག་པ|Citrā
ག་པ|Citrā
ནག་པ|Citrā
ནག་པ|Citrā
སྣ་ཚོགས་བརྩེགས|Citrakūṭa
སྣ་ཚོགས་བརྩེགས|Citrakūṭa
སྣ་ཚོགས་སྡེ|Citrasena
སྣ་ཚོགས་སྡེ|Citrasena
བཱི་ཛ་པཱུ་ར་ཀ|Citron
མ་ཏུ་ལུང་ཀ|Citron
སེམས་ཙམ|Cittamātra
སེམས་ཙམ|Cittamātra
སྣ་ཚོགས་ཀྱི་རྒྱལ་པོ|Cittarāja
སྣ་ཚོགས་ཀྱི་རྒྱལ་པོ|Cittarāja
རྫ་རྔ|Clay drum
གྲོག་མཁར་གྱི་ས|Clay from an anthill
རྫ་རྔ|Clay kettledrum
མངོན་པར་རྟོགས་པ|Clear realization
སྐད་ཅིག་མ་གཅིག་གིས་མངོན་པར་རྟོགས་པ|Instantaneous clear realization
མཐར་གྱིས་པའི་མངོན་རྟོགས|Serial clear realization
རྩེ་མོར་ཕྱིན་པའི་མངོན་རྟོགས|Culminating clear realization
རྣམ་ཀུན་མངོན་རྫོགས་རྟོགས་པ|Clear realization of all phenomena
རྣམ་ཀུན་མངོན་རྫོགས་རྟོགས་པ|Clear realization of all phenomena
འདུ་ཤེས|Clear understanding
ཀ་ཊ་ཀཾ|Clearing nut
བཟོད་པ|Clemency
ཚེམས་ཐགས་བཟང|Close-fitting teeth
ཁ་དོག་རན་པ|Cloth of a fitting color
ན་བཟའ|Clothing
ཆོས་ཀྱི་སྤྲིན|Cloud of Dharma
ཆོས་ཀྱི་སྤྲིན|Cloud of Dharma
སྤྲིན་མེད|Cloudless Heaven
ཆོས་སྤྲིན|Clouds of Dharma
ཆོས་ཀྱི་སྤྲིན|Clouds of Dharma
ཨུ་དུམ་བཱ་ར|Cluster fig
ན་རི་ཀེ་ལ|Coconut palm
ཤེས་པ|Cognition
མངོན་པར་ཤེས་པ|Higher cognition
ཡེ་ཤེས|Pristine cognition
ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ|Mental cognition
དེ་བཞིན་གཤེགས་པའི་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་ཡེ་ཤེས|Pristine cognition of omniscience
རྡོ་རྗེ་ལྟ་བུའི་ཡེ་ཤེས|Adamantine pristine cognition
ཕྱིར་མི་ལྡོག་པའི་ཡེ་ཤེས|Irreversible pristine cognition
ཟག་མེད་པའི་ཡེ་ཤེས|Uncontaminated pristine cognition
ཡེ་ཤེས་ཏོག|Crest of Pristine Cognition
སྐྱེ་མཆེད|Bases of cognition
ཡེ་ཤེས་ཆོས་སྐུ|Buddha body of pristine cognition and reality
ངག་གི་ལས་ཐམས་ཅད་ཡེ་ཤེས་སྔོན་དུ་འགྲོ་ཞིང་ཡེ་ཤེས་ཀྱི་རྗེས་སུ་འབྲང་བ|All the activities of their speech are preceded by pristine cognition and followed by pristine cognition
ཡིད་ཀྱི་ལས་ཐམས་ཅད་ཡེ་ཤེས་སྔོན་དུ་འགྲོ་ཞིང་ཡེ་ཤེས་ཀྱི་རྗེས་སུ་འབྲང་བ|All the activities of their minds are preceded by pristine cognition and followed by pristine cognition
ལུས་ཀྱི་ལས་ཐམས་ཅད་ཡེ་ཤེས་སྔོན་དུ་འགྲོ་ཞིང་ཡེ་ཤེས་ཀྱི་རྗེས་སུ་འབྲང་བ|All the activities of their bodies are preceded by pristine cognition and followed by pristine cognition
རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བའི་ཕུང་པོ|Aggregate of the perception of liberating pristine cognition
རྣམ་པར་གྲོལ་བ་ཉམས་པ་མེད་པའམ་རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བ་ཉམས་པ་མེད་པ|Do not degenerate in their liberation, nor in their perception of liberating pristine cognition
ད་ལྟར་བྱུང་བའི་དུས་ལ་མ་ཆགས་མ་ཐོགས་པའི་ཡེ་ཤེས་གཟིགས་པར་འཇུག་གོ|Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the present
འདས་པའི་དུས་ལ་མ་ཆགས་མ་ཐོགས་པའི་ཡེ་ཤེས་གཟིགས་པར་འཇུག་གོ|Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the past
