འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
དུང|conch shell
དུང་ཁང|conch shell chamber (euphemism for cranium)
དུང་ངེ་བ|heartfelt
དུར་ཁྲོད|charnel ground
དུར་ཁྲོད་ཀྱི་ཆས་བརྒྱད|eight attributes/_symbols of the charnel ground
དུས|. . . (verb +) dus - when . . . ; even as . . . ; isc. at the point that . . . ; once . . . ; isc. chance of . . .. time; temporal relationship; isc. context
དུས་གསུམ|three times/_temporal phases
དུས་ན|. . . dus na(s) - in the context of . . . ; from the perspective/_point of view of . . . ; isc. even as . . .
དུས་ནས|. . . dus (nyid) nas - even as . . .
དུས་སུ|. . . kyi dus su - at the time/_on the occasion of . . . ; in the context of . . .
དུས་མེད་དུ|outside of time (to avoid crossover with ye nas)
དུས་ཐམས་ཅད་པ|ever-present
དུས་གཅིག་ལ|at the same time; in any given moment; at any given point/_moment; in a (single) moment; isc. at the same time/_simultaneously
དུས་ཀྱི་ཐ་མ|final period/_days
དུས་ལ་དབབ་པ|bab/_'bab pa - the time is ripe/_has come for . . . ; to be time for . . .
དུས་ལ་འབབ་པ|/_bab/_dbab pa - the time is ripe/_has come for . . . ; to be time for . . .
དུས་ལ་བབ་པ|'bab/_dbab pa - the time is ripe/_has come for . . . ; to be time for . . .
དུས་གསུམ་གྱི|of/_throughout the three times
དུས་གསུམ་སངས་རྒྱས|buddhas throughout the three times
དུས་རྟག་པ་རྒྱུན་གྱི་འཁོར་ལོ|ongoing continuum of the eternal present
དུས་འཛོམ་པ|synchronicity; synchronous (with one another)
དུས་མཚུངས་པ|contemporary; . . . (dang) dus mtshungs pa - contemporaneous/_contemporary (with)
དབ༹ངས|limpid clarity/_limpidity/_pristine(ness); isc. (discerning) clarity/_clear; isc. subtle (in compounds)
དབ༹ངས་ཆ|limpid aspect/_quality
དབ༹ངས་གསལ|pristine lucidity [of awareness]; pristine clarity [of space]; pristine and lucid
དབ༹ངས་མ|subtle (vital) essence
དབ༹ངས་པ|pristine; isc. clear/_limpid; isc. subtle
དབ༹ངས་སྤྲོ|rapturous
དབ༹ངས་སྤྲོ་བ|rapturous
དབ༹ངས་འབྱེད་པ|differentiating
དབ༹ངས་སང་ངེ་བ|limpidly pristine
དབ༹ངས་མ་འབྱེད་པ|un/_nondifferentiating
དབ༹ངས་སངས་སུ|in its limpid pristineness
ཛབ|mantra repetition
ཛབ་ཁང་དབྱེ་བ|to 'open the mansion'/_'set the stage' for mantra repetition
ཨེ་ཁྲམ|matrix of E/_basic space
གཡང|prosperity
གཡང་འགུགས|(ritual for) summoning the forces of prosperity
གཡང་ས|abyss; pitfall
གཡང་ས་གཅོད་པ|to cross the abyss
གཡར་དམ|pledge
གཡས|right
གཡས་རོལ|music to the right (in dance)
གཡས་ཆུང་རས་ཆོད|to downplay/_ignore/_disparage/_belittle [KNT]
གཡེལ་བ|to hesitate
གཡེངས་པ|རྣམ་པར་གཡེངས་པ (complete) distraction; (to be/_become) (completely) distracted
གཡོ|གཡོ་སྒྱུ hypocrisy
གཡོ་བ|vacillation; to waver (within)/_stray(from)/_vacillate/_shift /_deviate; to be hypocritical; isc. to go beyond; isc. to fall outside (of); isc. to be other than . . .
གཡོན|left
གཡོན་རོལ|music/_movement to the left (in dance)
གབ་པ|arcane
གབ་པའི་གསང་བ|elusive; self-secrecy [of teachings]
གད་རྒྱངས|far-reaching laughter
གལ་ཆེ|very important (point)
གལ་པོ་ཆེ|very important (point)
གང|whatever; (interrogative particle) who/_what/_which?; any . . . ; s/_he who . . .. [+verb] - whatever . . . ; regardless of what . . .. བཀང་བ to fill (up). /_ci yang ma grub pa - not (found) to have ever existed/_had existence/_been anything/_any 'thing' whatsoever/_at all
གང་དུའང|anything; anything what(so)ever/_at all
གང་རུང|whatever is appropriate; any given . . .
གང་ཚེ|whenever; isc. always
གང་ཡང|any; (in any way/_as anything) what(so)ever
གང་ཡིན|whatever . . . is
གང་ཟག|(ordinary) individual
གང་ཞིག|who(so)ever
གང་ཟག་གི་བདག|personal identity; (self-)identity in/_of the individual personality
གང་ཟག་གི་བདག་འཛིན|conception of/_to conceive of personal identity/_(self-) identity in/_of the individual personality; isc. perception based on the assumption of a personal identity; perceiving as though there were personal/_self-identity
གང་ཟག་གི་བདག་མེད|nonexistence of personal identity/_(self-)identity in/_of the individual personality
གང་ཟག་སྙན་གྱི་བརྒྱུད་པ|lineage of oral transmission of (human) individuals*
གང་ལྟར་ཡང|in any case; regardless
གང་ཡང་རུང|whatever is appropriate; any given . . .
གང་ལ་གང་འདུལ|in whatever way is necessary to guide under any circumstances; whatever (activity) is necessary/_required to tame/_tames any being in any way necessary/_under any circumstances; in any way necessary. . . ; under any circumstances
གངས|snow; (glacial) snow and ice
གངས་ལྗོངས|Land of Snows [=Tibet]
གངས་རི|snow mountain
གར་དགུ|nine moods of dance [of wrathful deities]
གར་སོང་ཆ་མེད|no idea of where (something) has gone
གར་གྱི་ཉམས་དགུ|nine moods of dance [of wrathful deities]
གཅག་མལ|halt in progress [KNT]
གཅན་གཟན|carnivore/_carnivorous beast
གཅེར་བུ|(stripped) bare; isc. direct
གཅེར་བཞག|to rest/_settle in the bare state (of)
གཅེར་གྲོལ|naked freedom; freedom in immediate perception [cf. cer grol]
གཅེར་མཐོང|naked perception
གཅེས་པ|essential; (to be) essential/_important/_crucial/_valuable
གཅིག|the sole; single. གཅིག་པོ one/_single
གཅིག་ཆོད|(single) incisive/_decisive (point/_stroke)
གཅིག་གྲོལ|freedom in/_as oneness
གཅིག་ཀྱང|even one/_a single
གཅིག་པ|identical/_same; (to be) the same/_identical; isc. equivalent
གཅིག་པོ|one/_single
གཅིག་པུ|oneness; (as adj.) single/_sole
གཅིག་པུར|solely/_alone
གཅིག་རྫོགས|unique(ly) perfect(ion); perfect(ion) in (its) oneness
གཅིག་ཆར་དུ|གཅིག་ཅར་དུ simultaneous(ly); all together/_at once
གཅིག་དང་ཐ་དད|identity and/_or separateness
གཅིག་རྫོགས་ཀུན་རྫོགས|with that single perfection, all is perfect
གཅིག་རྫོགས་གཉིས་རྫོགས་ཀུན་རྫོགས|perfection in oneness, perfection in duality, perfection in everything; 'perfection in one, perfection in two, perfection in everything'
གཅིག་ཏུ་ན|in one way/_sense; in a word, . . .
གཅིག་ཏུ་འདྲེས་པ|to blend as one
གཅིག་ཏུ་འདྲིལ་བ|to merge/_combine as/_in one; isc. totality of [cf. CYDz, 189. a.4]
གཅིག་ཏུ་སྡུ་བ|to coalesce/_unite as one
གཅིག་ཏུ་འདུས་པ|unified
གཅིག་ཏུ་འཁྱིལ་བ|to dwell innately in a/_the single (state of) . . .
གཅིག་ཏུ་བསྡུ་བ|to coalesce/_unite as one
གཅིག་གིས་གཅིག་མ་སྒྲིབ་པ|not mutually exclusive
གཅིག་ཅར་དུ|གཅིག་ཆར་དུ simultaneous(ly); all together/_at once
གཅོད་པ|བཅད་པ,་གཅད་པ,་ཆོད་པ to cut (through); to undermine/_negate; to demarcate/_outline/_divide
གདའ་བ|to be (the case)
གདག་གཞི|basis of labeling/_designation (process)
གདག་པ|/_'dogs/_btags/_thogs pa - to apply/_attach (a label); to designate/_label; to refer to
གདག་ཡུལ|object of labeling/_designation (process)
གདགས་གཞི|basis of labeling/_designation (process)
གདལ་བ|infinite extent; to spread/_diffuse/_extend thoroughly/_pervasively; diffusion/_extension; diffuse
གདལ་བའི|infinite
གདལ་བ་ཆེན་པོ|infinity/_infinite extension
གདམས་ངག|spiritual advice/_instruction
གདམས་པ|to advise/_impart (advice)
གདན|seat
གདན་རབས|succession of abbots in a monastery
གདན་ས|monastic seat/_center
གདང|གདངས (outwardly directed) radiance (of being)/_radiant expression*
གདངས|ཕྱི་གདངས externalized/_outwardly directed radiance (of being)*. (outwardly directed) radiance (of being)/_radiant expression*
གདར་ཤ་གཅོད་པ|བརྡར་ཤ་གཅོད་པ,་བདར་ཤ་གཅོད་པ to refine one's experience (of) with great precision; to see with great precision; isc. to see through/_pare away
གདེང|གདིང indwelling confidence
གདེང་དུ་འཆར་བ|to take with confidence; [in neg. sense] to presume
གདེང་ཐོབ་པ|གདིང་ཐོབ་པ to discover/_discovery of indwelling confidence
གདེངས|གདིང indwelling confidence
གདེངས་ཐོབ་པ|to discover/_discovery of indwelling confidence
གདིང|གདེངས indwelling confidence
གདིང་བཅའ་བ|to base one's confidence on/_gain confidence in
གདིང་གྲོལ་ཐོག་ཏུ་བཅའ་བ|to lay the basis in the immediacy of freedom
གདིང་ཐོབ་པ|to discover/_discovery of indwelling confidence
གདོད་མ|primordial/_fundamental being
གདོད་མའི|primordial(ly); isc. forever/_always
གདོད་མའི་གཞི|primordial ground (of being)
གདོད་མའི་གནས་ལུགས|primordial way of abiding/_abiding nature
གདོད་མའི་མགོན་པོ|primordial guide
གདོད་མ་གཞི|ground of primordial being
གདོད་མ་ནས|primordial(ly); isc. forever/_always
གདོལ་པ|outcaste
གདོན|malevolent influence
གདོན་ཟ་བ|to entertain misgivings
གདོས་བཅས|corporeal/_material/_solid matter; isc. physical body/_material world
གདོས་པ|solidity
གདོས་ཐག|continuity of corporeality
གདུག་པ|malevolent (one)
གདུལ་བྱ|one to be guided/_tamed
གདུང|bloodline/_legacy/_heritage/_ancestry/_family line/_pedigree; (minor) relics
གདུང་བ|longing; to long (for)/_be plagued (by)/_be obsessed (with)
གདུང་རབས|lineage of succession (for . . . )
གདུང་སེལ|to dispel longing
གདུང་ཤུགས|powerful longing
གེགས|(causer of) hindrance
གེགས་སེལ|(means to) dispel hindrances
གེགས་བསལ་བ|to dispel hindrances
གི་བར་དུ|. . . gi bar gyi/_du - (anything) up to and including . . .
གི་བར་གྱི|. . . gi bar gyi/_du - (anything) up to and including . . .
གིང|ging warrior
གིས|. . . (verb +) gis - though/_while . . . ; isc. in light of . . .
