ཀུད|བཀུ ND.gives as the present of ཀུད.
དབྱུག|Present: གཡུག LZ, CD, DK, DS, TC. \nPast: བེར་ཀ་སོགས LZ, CD, DK, DS, TC.\nFuture: དབྱུག LZ, DK, DS, TC.\nImperative: དབྱུག LZ, DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: དབྱུགས LZ.\nMeaning:To swing, brandish, throw, cast, fling (Ja) CD. To throw, to cast, to give up, to bend with a stick DK. To move back and forth something with an elongated shape DS. 1. To hurl, strike, jab. 2. To throw out, abandon TC.\nNote: Compare དབྱུག.
དབྱུང|Present: ཕྱུང LZ. \nPast: འབྱིན LZ.\nFuture: དགེ་བའི་དབུགས་སོགས LZ.\nImperative: ཕྱུངས LZ.\nCharacteristic Example: དབྱུང LZ.\nNote: Compare དབྱུང and དབྱུང.
དབྱེ|Present: འབྱེད CD, DS. \nPast: ཕྱེ [DS].\nFuture: དབྱེ [DS].\nTransitive: DS.\nMeaning:To make distinctions, to differentiate CD. To separate into groups because of some ordinary characteristic DS.\nNote: according to (Rdo. 46) the present of དབྱེ , according to (Ja) future of and in literary a secondary form of དབྱེ CD.
དབྱེན|Present: དབེན LZ. \nPast: དབྱེན LZ.\nFuture: སྡེ་རིས་སོགས LZ.\nImperative: དབྱེནད LZ.\nCharacteristic Example: དབྱེན LZ.\nNote:(Beyer 1992: 84 n. 15) suggests that དབྱེནད 'difference, schism, discord' derives from དབྱེན 'solitude, loneliness, separation' via palatalization.
དབྲུལ|འབྲུལ (Gyurme 1992: 261). gives as a causative of rul presumably he means to refer to དབྲུལ.
དབྲོག|Present: དབྲོག CD. \nMeaning:To forget CD.
དབྲོལ|Present: དུམ་བུར LZ, ND, (DS), TC. པགས་པ་སོགས DS. \nPast: རལ LZ, NDB. དབྲོལ NDA, TC. ཕྲོལ DS.\nFuture: དབྲོལད LZ, ND, DS, TC.\nImperative: བྲོལད LZ. དབྲལ ND. ཕྲལ DS. དབྲལ TC.\nVoluntary: ND, DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCausative of: དབྲལད (Gyurme 1992: 261), (Duff).\nCharacteristic Example: འབྲལ LZ. དབྲོལ ND.\nMeaning:1. To individually divide. 2. To puncture, tear. 3. To sever a connection DS. To tear TC.
འབགས|Present: འཕོག LZ, NDB. སྐྱོན CD, DK, DS, TC. \nPast: དྲི་སྐྱོན་སོགས་ཀྱིས LZ. སྦག CD, DK, DS, TC.འབགས NDB. \nFuture: དབོགས LZ, CD. འབག NDB. དབགས DK, DS, TC.\nImperative: དབག LZ. སྦགས DK. - NDB, DS, TC.\nInvoluntary: NDB, DS, TC.\nIntransitive: DS, TC.\nResultative of: འབགས (Beyer 1992: 116), (Duff).\nCharacteristic Example: དབགས LZ. འབག NDB.\nMeaning:1. To defile, pollute one's self, to soil, make filthy. 2. (Central) To take away, to steal, rob CD. To be polluted, to be defiled, to become impure, to be defective DK. To mix with something else, to make unclear DS. 1. To be polluted, defiled. 2. To use up TC.\nNote: Compare འབགས.
འབང|Present: སྦོང DK, TC. འབོངས DS, TC.\nPast: བང DK, DS, TC.\nFuture: འབང DK, TC.བངས DS, TC.\nImperative: བང DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nResultative of: འབང (Chang 1971: vii.3), (Beyer 1992: 116), (Gyurme 1992: 261), (Duff).\nMeaning:To get wet, to become wet, to be saturated, soak DK. For a thing to be soaked in a liquid and the inside of that thing to saturated with water DS. To become naturally wet TC.
འབང|Present: འབངས CD\nPast: འབང CD.\nMeaning:To love, regard CD.
འབད|Present: འབུང LZ, CD, DK, DS, TC. \nPast: ཉམས་ལེན་སོགས་ལ LZ, DK, DS, TC.\nFuture: རྦོད LZ, DK, DS, TC.\nImperative: འབད LZ, CD, DS, TC. འབོད DK.\nVoluntary: CD, DS, TC.\nIntransitive: DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nResultative of: འབད (Chang 1971: vii.5)\nCharacteristic Example: འབད LZ.\nMeaning:1. To endeavor, to try, to exert one's self, make effort. 2. To cultivate, rear, take care of CD. To try, to endeavor DK. To strive for a goal with great effort of speech and body DS. To strive, exert effort TC.\nNote:Compare འབད. CD.
འབབ|Present: དུས་སོགས་ལ LZ, DK, DS, TC. \nPast: འབེབས LZ, CD, DS. འབོབས CD, DK, TC.\nFuture: འབོབ LZ. བོབས DK, (dialect) DS, TC. བབས DS.\nImperative: བབ LZ. དབབ DK. འབབ CD, DS. བབ CD. བབ CD. - TC.\nVoluntary: CD, DS. Involuntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: བབས CD.\nCharacteristic Example: འབབ LZ.\nMeaning:1. To move downward, to descend, to come down from, to alight, to fall down CD. To rain, to climb down DK. 1. To go, fall from a higher place to a lower. 2. To rain. 3. To become smaller, fewer. 4. To understand, rise in the mind. 5. To be agreeable, pleasant. 6. To be established, arise. 7. To take responsibility for establishing an action. 8. To obtain, arrive in hand DS. 1. To fall from high to low. 2. To arrive TC.
འབབ|Present: བོབ TC. \nPast: འབབ TC.\nFuture: བབ TC.\nImperative: འབབ TC.\nVoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning:To get off, dismount TC.
འབའ|Present: འབའ CD, DS, TC. \nPast: འབའ [DS], TC.\nFuture: འབའ [DS], TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning:1. To bleat. 2. (in Sikkim) To bring, to carry. 3. (central) To commit adultery (Ja) CD. To make the sound of a sheep or goat DS. (for a sheep) To speak TC.\nNote:onomatopoeic NWH.
འབར|Present: དྲོད་སོགས LZ, CD, DK, DS, TC. \nPast: སྦོར LZ, DK. འབརད [DS], TC.\nFuture: འབར LZ, DK, [DS], TC.\nImperative: འབར LZ, DK. - TC.\nInvoluntary: TC, (Tournadre & Dorje 2003: 281), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003: 281). [Abs. Obl.] (Hackett 2003).\nResultative of: འབརད CD, (Chang 1971: vii.4); (Beyer 1992: 116); (Gyurme 1992: 261)\nCharacteristic Example: འབར LZ.\nMeaning:1. To catch fire, to become ignited, to blaze. 2. (in reference to the passions) To glare, burn with wrath. 3. To burst forth into bloom, to blossom, to blare forth into fame, to become notorious CD. To blaze up, to catch fire, to increase DK. 1. For tongues of fire to raise from a burning thing. 2. For light to spread. 3. To spread, grow DS. 1. For tongues of fire to raise from a burning thing. 2. To spread. 3. To scold TC.
འབལ|Present: སྐྲ LZ, CD, DK, DS, TC. \nPast: སྐྲ་སྤུ་སོགས LZ, DK. འབལ DS. འབོལ TC.\nFuture: བོལ LZ, DK, DS, TC. འབལད CD.\nImperative: འབོལད LZ. དབལ DK. འབལ DS. འབལ TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nDenominative of: བལ 'wool' NWH.\nCharacteristic Example: འབལད LZ.\nMeaning:1. To throw about, to pluck out the hair (used only with འབལ ). 2. To part, arrange the hair CD. To pluck out hair, to mingle, to loose DK. To pull from the root DS. To pluck, card TC.
འབིག|Present: འབིགས DK. \nPast: བིགས DK.\nFuture: འབིག DK.\nImperative: བིག DK.\nMeaning:To be pierced, to be penetrated DK.\nNote: Compare འབིག 
འབིགས|Present: འབུགས KYT, TD, LZ, ND, DS, TC. འབུག (ND), (DS), (TC).འབིགས (DS).འབིག (DS).\nPast: ཁུང KYT, TD, LZ, ND, DS, TC. མཚོན་སོགས་ཀྱིས (ND). མཚོན་སོགས་ཀྱི (DS).\nFuture: བུ་ག KYT, TD, LZ, ND, DS, TC.\nImperative: ཕུག KYT, DS. ཕུགས TD, LZ, ND, (DS), TC.\nVoluntary: KYT, TD, LZ, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: དབུག 'hole' NWH.\nCharacteristic Example: ཕིགས TD. ཕུགས LZ. ཕུག ND.\nMeaning:To pierce a hole in something DS. To pierce TC.\nNote:Compare འབིག , འབུགས 2,འབུག , and འབིགས.
འབིགས|Present: འབིགས CD, DK. \nPast: ཕིག CD. ཕིགས CD. དབིག CD. ཕིག DK.\nFuture: འཕིགས CD, DK.\nImperative: འཕིག CD, DK. ཕིགས CD.\nVoluntary: CD.\nMeaning:1. To pierce, pierce into, bore. 2. (in Central, vulgar) To lie with a woman CD. To pierce into, to hollow out DK.\nNote: Compare འབིགས 
འབུ|Present: ཁ CD, DK, DS. འབུད TC.\nPast: འབུས CD, DK, DS, TC.\nFuture: འབུས DK, DS.འབུ TC.\nImperative: འབུས DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nResultative of: འབུས (Laufer 1915: 62).\nMeaning:(especially with འབུ ) To open, unfold (of flowers) (Ja) CD. To blossom, to open into flowers DK. To sprout from a seed into a seedling DS. To newly open up TC.
འབུག|Present: འབིགས DK. \nPast: སྤུག DK.\nFuture: བུགས DK.\nImperative: འབུག DK.\nResultative of: བུག (Gyurme 1992: 260).\nMeaning:To be pierced, penetrated DK. To be turned upside down, reversed (Gyurme 1992: 260).\nNote: Compare འབུག 
འབུགས|Present: འབིགས CD, DK. \nPast: ཕུགས CD, DK.\nFuture: དབུག DK.\nImperative: ཕུག DK.\nMeaning:To hollow out, bore, to pierce, sting, bite CD. To pierce into, to hollow out DK.\nNote: Compare འབུགས 
འབུང|Present: འབད CD.སྦུང ༼?༽ DK, DS, TC. \nPast: འབུངས DK, DS, TC.\nFuture: འབུང DK, DS, TC.\nImperative: འབུངས DK, DS, TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nResultative of: འབུང NWH.\nMeaning:To concentrate one's force or energies CD. To try, to endeavor DK. To be eager, strive DS. To strive, be diligent TC.\nNote: Compare འབུངས CD.
འབུད|Present: གནས་དང་ཁྱིམ་སོགས་ལས LZ, CD, DK, DS, TC. \nPast: སྦུད LZ, CD, DK, DS, TC.\nFuture: འཕུད་&་བུད LZ. བུད DK, DS, TC.\nImperative: འབུད LZ, DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nIntransitive: CD, DS. Transitive: TC.\nCausative of: བུད (Duff).\nResultative of: བུད (Gyurme 1992: 260).\nCharacteristic Example: འབུད LZ.\nMeaning:(perhaps limited to West) 1. To fall from, drop, fall down. 2. To fall off (of leaves), to fall through. 3. To go away, to leave, escape, to disappear, to be lost CD. To go out, to be exclusive DK. 1. To come out. 2. To reach, arrive at, ascend. 3. To be clear, obvious DS. Take out, draw out, expel TC.
འབུད|Present: དུང་དང་གླིང་བུ་སོགས LZ, CD, DK, DS, TC. \nPast: འབུ LZ, DS, TC.འཕུས CD, DK.\nFuture: ཕུ LZ, DS, TC. བུས CD. ཕུ DK.\nImperative: དབུ LZ, DS, TC. འབུད CD. ཕུས DK.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: CD,DS, TC. Intransitive: CD.\nCausative of: བུས (Laufer 1915: 62)\nCharacteristic Example: འབུད LZ.\nMeaning:1. To blow (with the mouth). 2. To be blown (by the wind) CD. To blow with the mouth, blow with a blower, to blow a 1. To make a sound by blowing in the hollow of a conch &c. 2. To set a flame on the hearth DS. 1. To make [a sound with a conch]. 2. To set a fire TC.
འབུད|Present: འབུད CD, DK. \nPast: འཕུད CD, DK.\nFuture: བུད CD, DK.\nImperative: འཕུད CD. ཕུད DK.\nTransitive:CD.\nCausative of: དབུད (Chang 1971: vii.6)\nMeaning:1. To put off, pull off, take off (hat, coat, ring &c.). 2. (with accusative of person and place) To drive out, expel, cast out, chase away. 3. To pull out, tear out, uproot. 4. To take away, subtract from (Ja) CD. To take off, expel, to push out, push aside, to take forth from the rest DK.\nNote: Compare ཕུད , and འབུད 
འབུན|Present: བུན CD. འབུན CD. \nMeaning:To itch CD.
འབུབ|Present: སྦུབ CD, DK. \nPast: སྤུབ CD, DK.\nFuture: བུབས DK.\nImperative: འབུབ CD, DK.\nResultative of: བུབ (Chang 1971: vii.5), (Beyer 1992: 116). འབུབ NWH. \nMeaning:1. To be turned over, upside down. 2. To be overthrown, destroyed, spoiled (with regard to meditation) (Mil.) (Ja) CD. To be reversed upside down DK.
འབུབས|Present: འཕིབས TD, LZ, CD, ND, DK, DS, TC. ཐོག་སོགས CD.\nPast: ཐོག་དང་གུར TD, LZ, ND, DK, DS, TC. གུར་དང་ཡང་ཐོག་སོགས CD. གདུགས་དང་གུར་སོགས ND.\nFuture: ཕིབས TD, LZ, CD, DK, DS, TC. ཕུབ ND.\nImperative: ཕུབས TD, LZ, CD, DK, DS. དབུབས ND, TC. དབུབ NDB.\nVoluntary: TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: ཕིབས TD. ཕུབས LZ. ཕུབ (phub) ND. འཕུབ (phibs) ND.\nMeaning:To put on a roof, something for a roof (Ja) ('bubs) CD. To set up, pitch ('phub) CD. To pitch DK. To put a cover on top of a house. 2. To stretch, fill DS. 1. [To erect, establish, put up]. 2. To cover TC.\nNote: Compare འབུབས 
འབུར|Present: འབུརད CD, DK, DS, TC. \nPast: འབུར DK. འབུར [DS], TC.\nFuture: འབུརད DK, [DS], TC.\nImperative: འབུར DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning:1. To rise, to swell up, become prominent. 2. To spring up, come forth, bud, unfold CD. To rise, swell up, to come out a part, to come up one's head [sic] DK. To rise up higher than the level of an even surface DS. To naturally rise higher TC.
འབུལ|Present: མཆོད་པ KYT, KYN , TD, CD, ND, DK, DS, TC. མགལ་སོགས LZ. \nPast: མཆོད་པ་སོགས KYT, KYN , TD, LZ, CD, ND, DK, DS, TC.\nFuture: འབུལད KYT, KYN , TD, LZ, CD, ND, DK, DS, TC.\nImperative: ཕུལད KYT, TD, CD, DS, TC. ཕུལ KYN , LZ, ND. དབུལ DK.\nVoluntary: KYT, KYN , TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: ཕུལ TD. དབུལ LZ. འབུལ ND.\nMeaning:(humble) To give, proffer, send CD. To offer, give, send a letter, a present &c. DK.
འབུས|འབུས TC. gives as the present of 'bu
འབེབས|Present: ཆམ་ལ KYT, KYN, TD, LZ, CD, ND, DK, (DS), TC. ཆར་དང་བརྟན་ལ་བྱིན་སོགས CD (Sch.). ལྷ་དང་ཆར་སོགས DK. བྱིན་དང་སྨ་སོགས DS. \nPast: འབབ KYT, TD, LZ, CD, ND, DK, DS, TC.ཕོབས KYN.ཕོབ (ND).\nFuture: དབབ KYT, KYN , TD, LZ, CD, ND, DK, DS, TC.\nImperative: ཕབས KYT, TD, LZ, CD, DK, TC. ཕེབས KYN, ND, DS.\nVoluntary: TC, (Hoshi 2003).\nTransitive: DS, TC.\nCausative of: ཕབ CD.\nCharacteristic Example: འབེབ TD. འཕེབས LZ. འཕོབ ND.\nMeaning:1. To cause to descend, cause to fall down. 2. To cast down, throw down. 3. To assign, settle, fix, lay down, establish CD. To bring down, cause to come down DK. 1. 2. To determine, ascertain. 3. To make lower, make fewer. 4. To calm down. 5. To make descend from a high place to a low place. 6. To make stay, remain. 7. (prefixed by the phrase འབེབས ) To humble, enervate DS. 1. To make come down. 2. To determine, ascertain TC.
འབོ|Present: འབྱོ LZ, CD, ND, DK, DS, TC. \nPast: ཆུ་སོགས LZ. བོ CD, DK, DS. ཕོས ND, TC.\nFuture: འབོ LZ, CD, ND, DK, DS, TC.\nImperative: དབོ LZ. ཕོས ND, TC. ཕོ DS.\nVoluntary: ND, DS, TC\nTransitive: DS, TC.\nCharacteristic Example: དབོས ND, LZ.\nMeaning:1. To pour out, pour forth, spill out. 2. To swell up, to rise. 3. To sprout, shoot forth (of wild growing plants) CD. To pour out, to spill out DK. To throw liquid from a vessel DS. To throw out TC.\nNote:(Beyer 1992: 83) suggests that འབོ derives from this verb via palatalization.
འབོ|Present: བོ CD. འབོ DK. \nPast: བོ DK.\nFuture: འབོ DK.\nImperative: བོ DK.\nInvoluntary:(Hoshi 2003).\nMeaning:1. To expand as a bubble. 2. To overflow, fall out of a vessel on account of over-filling CD. To spill out, to fall out liquid, to overflow [sic] DK. (for a cup &c.) To spill (Hoshi 2003).
འབོག|Present: འབོགས TC. \nPast: འབོག TC.\nFuture: འབོགས TC.\nImperative: འབོག TC\nVoluntary: TC.\nTransitive: TC.\nMeaning:To cross, exceed TC.
འབོག|Present: བོག CD.འབོག CD, DK, DS, TC. \nPast: དབོག CD, DK, TC. འབོག [DS]\nFuture: བོག CD.འབོག DK, [DS], TC.\nImperative: འབོགས DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning:1. To faint. 2. To grow loose, to come off, to drop of (leaves from a tree) (Ja) CD. To faint, to become unconscious, to become insane DK. To faint, be intoxicated DS. 1. To faint, fall unconscious. 2. To fall TC.
འབོགས|Present: སྡོམ་པ་སོགས TD, CD, DK, DS, TC. སྡོམ་པ་དང་གདམས་ངག་སོགས LZ. གདམས་ངག་སོགས CD, ND, TC.\nPast: འཕོག TD, LZ, CD, ND, DK, DS, TC.\nFuture: ཕོགས TD, LZ, CD, ND, DK, DS, TC.\nImperative: དབོགས TD, LZ, CD, ND, TC. ཕོག DK. དབོག DS.\nVoluntary: TD, CD, ND, DS, TC\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: ཕོག (Duff).\nCharacteristic Example: འབོག TD. དབོག LZ. འབོགས ND.\nMeaning:1. To bestow, impart. 2. (in West) To be extracted, uprooted, pulled out, to be dislocated, unhinged. 3. To unload CD. 1. To put something at a place, put something on a place. 2. To give responsibility, give, bestow DK. 1. To take down an ornament, burden. 2. To lead another with good qualities or advice DS. 1. To give. 2. (archaic) To strive, exert TC.
